Name,CarLink,Time,PS,Weight_KG,Car_type,Year,Country_of_Origin,Engine_type,Displacement,Transmission,Engine_Layout,Drivetrain
Acura ARX-01b,https://fastestlaps.com/models/acura-arx-01b,70.1,558,825,Coupe,2008.0,Japan,V8 DOHC,3.4,6 speed Sequential,middle engine,rear wheel drive
Porsche RS Spyder (Evo),https://fastestlaps.com/models/porsche-rs-spyder,70.35,510,775,Coupe,2007.0,Germany,V8 DOHC,3.4,6 speed Sequential,middle engine,rear wheel drive
Acura ARX-01a,https://fastestlaps.com/models/acura-arx-01a,70.91,558,825,Coupe,2007.0,Germany,V8 DOHC,3.4,6 speed Sequential,middle engine,rear wheel drive
Audi R10 TDI,https://fastestlaps.com/models/audi-r10-tdi,71.17,659,925,Coupe,2006.0,Germany,V12 DOHC Twin Turbo,5.5,5 speed Sequential,middle engine,rear wheel drive
Porsche RS Spyder,https://fastestlaps.com/models/porsche-rs-spyder-n-a,74.03,487,775,Coupe,2005.0,Germany,V8 DOHC,3.0,6 speed Sequential,middle engine,rear wheel drive
Czinger 21C,https://fastestlaps.com/models/czinger-21c,85.45,1267,1250,Coupe,2020.0,United States,"DOHC twin-turbocharged V8, 3 electric motors",2.9,7-speed sequential automatic,middle engine,all wheel drive
McLaren Senna (P15),https://fastestlaps.com/models/mclaren-senna-p15,87.62,800,1364,Coupe,2018.0,United Kingdom,V8 DOHC Twin Turbo,4.0,7-speed daul clutch,middle engine,rear wheel drive
Porsche 911 GT2 RS (991),https://fastestlaps.com/models/porsche-911-gt2-rs-991,88.3,700,1515,Coupe,2017.0,Germany,twin-turbocharged flat-6,3.8,7 speed dual clutch automatic (PDK),rear engine,rear wheel drive
Pagani Huayra BC,https://fastestlaps.com/models/pagani-huayra-bc,88.5,800,1218,Coupe,2017.0,Italy,Mercedes-Benz AMG V12 60°,6.0,7-speed with electronic mechanical differential,middle engine,rear wheel drive
Dodge Viper ACR (Mk V),https://fastestlaps.com/models/dodge-viper-acr-mk-v,88.65,654,1539,Coupe,2016.0,United States,V10,8.4,Tremec TR6060 six-speed manual transmission,front engine,rear wheel drive
